a,b,h,l,S11
14,13.6,4,25.5,-29.80545178
14,13.6,4,26,-27.28503202
12,13.8,4,23,-21.26004453
12,13.8,4,23.5,-30.3662985
12,13.8,4,24,-56.69145676
12,13.8,4,24.5,-31.57996556
12,13.8,4,25,-28.53114708
12,13.8,4,25.5,-29.6203757
12,13.8,4,26,-30.51554602
12.2,13.8,4,23,-32.9151864
12.2,13.8,4,23.5,-32.86540551
12.2,13.8,4,24,-37.94686152
12.2,13.8,4,24.5,-29.03140215
12.2,13.8,4,25,-28.10192893
12.2,13.8,4,25.5,-28.64933677
12.2,13.8,4,26,-28.39005686
12.4,13.8,4,23,-33.41604174
12.4,13.8,4,23.5,-31.300468
12.4,13.8,4,24,-34.42747123
12.4,13.8,4,24.5,-30.10628519
12.4,13.8,4,25,-28.40159646
12.4,13.8,4,25.5,-26.14165395
12.4,13.8,4,26,-37.84322377
12.6,13.8,4,23,-29.97494988
12.6,13.8,4,23.5,-26.14301123
12.6,13.8,4,24,-30.40229018
12.6,13.8,4,24.5,-30.0016756
12.6,13.8,4,25,-30.17415586
12.6,13.8,4,25.5,-30.28560584
12.6,13.8,4,26,-28.33258344
12.8,13.8,4,23,-22.40114177
12.8,13.8,4,23.5,-22.84245123
12.8,13.8,4,24,-37.46130032
12.8,13.8,4,24.5,-28.80727474
12.8,13.8,4,25,-29.15680168
12.8,13.8,4,25.5,-27.81043597
12.8,13.8,4,26,-29.1991514
13,13.8,4,23,-20.50467764
13,13.8,4,23.5,-21.67249388
13,13.8,4,24,-55.8601487
13,13.8,4,24.5,-28.19616074
13,13.8,4,25,-28.67324558
13,13.8,4,25.5,-28.09347913
13,13.8,4,26,-27.18677462
13.2,13.8,4,23,-19.53780468
13.2,13.8,4,23.5,-25.23837414
